PG.CellularComponent	PG.BiologicalProcess	PG.MolecularFunction	PG.UniprotIds	PG.Genes	PG.ProteinDescriptions	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.UniquePeptides
proteinaceous extracellular matrix,extracellular space,trans-Golgi network	cell adhesion,regulation of Notch signaling pathway,tissue development,extracellular matrix organization,cellular response to vitamin K	heparin binding,metal ion binding	F1RS37	POSTN	Periostin	2.718465E+08	1.31211E+08	3.248902E+08	5.107619E+08	3.168489E+08	4.295427E+08	48	48	48	48	48	48
;	;	;	A0A286ZPQ1;A0A287B163	COL6A3	Collagen type VI alpha 3 chain	3.589166E+08	3.599828E+08	3.264484E+09	2.992939E+09	2.990103E+09	3.677009E+09	190	190	190	190	190	190
			F1SU03	HSPG2	Heparan sulfate proteoglycan 2	1.499323E+09	1.268371E+09	3.173433E+09	2.199907E+09	3.10097E+09	2.787384E+09	162	162	162	162	162	162
			A0A5G2QXN3	TGFBI	Transforming growth factor-beta-induced protein ig-h3	1.301681E+08	1.911892E+08	1.432804E+09	9.296854E+08	8.808329E+08	9.277976E+08	44	44	44	44	44	44
mitochondrion,endoplasmic reticulum,cytosol,intrinsic component of plasma membrane	peptide cross-linking,negative regulation of endoplasmic reticulum calcium ion concentration,positive regulation of apoptotic process,apoptotic cell clearance,positive regulation of cell adhesion,positive regulation of mitochondrial calcium ion concentration,branching involved in salivary gland morphogenesis,salivary gland cavitation	protein-glutamine gamma-glutamyltransferase activity,metal ion binding	F1SDX6	TGM2	Transglutaminase 2	3.954748E+08	2.131264E+08	1.756436E+09	2.655141E+09	1.416294E+09	1.445208E+09	45	45	45	45	45	45
nucleus,nucleolus,mitochondrial inner membrane,mitochondrial matrix,polysome,cytosolic small ribosomal subunit,intracellular ribonucleoprotein complex,ruffle membrane,NF-kappaB complex,mitotic spindle,cytoplasmic side of rough endoplasmic reticulum membrane	cytoplasmic translation,DNA repair,transcription, DNA-templated,apoptotic process,chromosome segregation,positive regulation of gene expression,negative regulation of translation,positive regulation of microtubule polymerization,negative regulation of protein ubiquitination,positive regulation of endodeoxyribonuclease activity,positive regulation of interleukin-2 production,positive regulation of activated T cell proliferation,DNA damage response, detection of DNA damage,positive regulation of JUN kinase activity,negative regulation of DNA repair,positive regulation of T cell receptor signaling pathway,positive regulation of NF-kappaB transcription factor activity,spindle assembly,cell division,response to TNF agonist,cellular response to hydrogen peroxide,cellular response to tumor necrosis factor,positive regulation of NIK/NF-kappaB signaling,positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage,positive regulation of DNA N-glycosylase activity,positive regulation of base-excision repair,positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis	RNA polymerase II regulatory region sequence-specific DNA binding,damaged DNA binding,mRNA binding,structural constituent of ribosome,endodeoxyribonuclease activity,microtubule binding,transcription factor binding,oxidized purine nucleobase lesion DNA N-glycosylase activity,protein kinase binding,Hsp70 protein binding,oxidized purine DNA binding,oxidized pyrimidine DNA binding,ubiquitin-like protein conjugating enzyme binding,macromolecular complex binding,protein kinase A binding,Hsp90 protein binding,small ribosomal subunit rRNA binding,supercoiled DNA binding,Requires Ontology	Q0Z8U2	RPS3	40S ribosomal protein S3	7773455	8.104244E+07	NaN	NaN	NaN	NaN	10	10	NaN	NaN	NaN	NaN
;;	;;	;;	A0A287AJ64;A0A287AWV5;F1SPT5	LAMB2	Laminin subunit beta 2;Laminin subunit beta-2;Laminin subunit beta 2	2.305725E+08	5.566912E+07	3.967888E+08	4.068414E+08	6.424657E+08	4.476903E+08	70	70	70	70	70	70
;basement membrane	;cell migration,extracellular matrix disassembly,hemidesmosome assembly,substrate adhesion-dependent cell spreading,macromolecular complex assembly	;extracellular matrix structural constituent	A0A287A078;F1S663	LAMC1	Laminin subunit gamma 1	2.5014E+08	2.016288E+08	5.877326E+08	4.312232E+08	5.699082E+08	6.619034E+08	67	67	67	67	67	67
;	;	;	A0A5G2Q7R0;A0A5G2QW87	COL6A1	Uncharacterized protein	1.606976E+09	4.498625E+08	2.955044E+09	3.353978E+09	3.625929E+09	3.767642E+09	53	53	53	53	53	53
;;collagen type IV trimer,extracellular space,extracellular matrix	;;transcription, DNA-templated,negative regulation of angiogenesis,endodermal cell differentiation,collagen-activated tyrosine kinase receptor signaling pathway,cellular response to transforming growth factor beta stimulus	;;extracellular matrix structural constituent	A0A5G2REY7;A0A5G2RJ53;F1RLL9	COL4A2	Collagen type IV alpha 2 chain	1.272439E+09	3.167824E+09	2.593541E+09	2.09332E+09	2.762719E+09	1.097036E+09	14	14	14	14	14	14
plasma membrane,focal adhesion,Z disc,filopodium	muscle contraction,microspike assembly,regulation of membrane potential,sarcomere organization,focal adhesion assembly,protein homotetramerization,actin filament uncapping,cardiac muscle cell development,protein localization to plasma membrane,phospholipase C-activating angiotensin-activated signaling pathway,negative regulation of potassium ion transmembrane transporter activity,positive regulation of potassium ion transmembrane transporter activity,regulation of nucleic acid-templated transcription,negative regulation of protein localization to cell surface,positive regulation of endocytic recycling,positive regulation of cation channel activity	calcium ion binding,phosphatidylinositol-4,5-bisphosphate binding,LIM domain binding,thyroid hormone receptor coactivator activity,titin binding,protein homodimerization activity,ion channel binding,actin filament binding,FATZ binding,titin Z domain binding	F1RHL9	ACTN2	Actinin alpha 2	1.910521E+07	1.534948E+07	8.152826E+07	7.520933E+07	5.364642E+07	1.177909E+08	36	36	36	36	36	36
			A0A5G2QEJ2	NaN	Collagen IV NC1 domain-containing protein	8.510002E+08	2.306592E+08	1.340295E+09	1.025844E+09	6.13428E+08	7.825667E+08	12	12	12	12	12	12
;chromosome	;chromosome segregation,positive regulation of protein dephosphorylation	;	A0A287AZ47;F1SI09	PPP1R7	Uncharacterized protein	2.228092E+07	1163723	5.166419E+07	4.273246E+07	5.738411E+07	4.696334E+07	19	19	19	19	19	19
			A0A5G2RHA4	FGB	Fibrinogen beta chain	5.079355E+08	1.73326E+09	1.748368E+09	8.418929E+08	1.295047E+09	1.47847E+09	23	23	23	23	23	23
;fibrinogen complex,external side of plasma membrane,platelet alpha granule;	;cell-matrix adhesion,signal transduction,protein secretion,plasminogen activation,positive regulation of heterotypic cell-cell adhesion,fibrinolysis,positive regulation of vasoconstriction,positive regulation of exocytosis,positive regulation of protein secretion,protein polymerization,response to calcium ion,positive regulation of ERK1 and ERK2 cascade,platelet aggregation,blood coagulation, fibrin clot formation,positive regulation of peptide hormone secretion,negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,negative regulation of endothelial cell apoptotic process;	;receptor binding,structural molecule activity,protein binding, bridging,cell adhesion molecule binding;	A0A5G2QUU1;F1RX35;I3LJW2	FGG	Fibrinogen gamma chain	5.665078E+08	5.001847E+08	2.339192E+09	1.056564E+09	1.328582E+09	1.515316E+09	27	27	27	27	27	27
proteinaceous extracellular matrix,collagen trimer,extracellular space,sarcolemma	negative regulation of endopeptidase activity	serine-type endopeptidase inhibitor activity	I3LUR7	COL6A3	Collagen type VI alpha 3 chain	7.968408E+08	4.628293E+08	2.100577E+09	1.984853E+09	1.195974E+09	2.115398E+09	27	27	27	27	27	27
;laminin-1 complex,laminin-2 complex,extracellular space,laminin-8 complex,laminin-10 complex	;neuronal-glial interaction involved in cerebral cortex radial glia guided migration,positive regulation of cell migration,neuron projection development,substrate adhesion-dependent cell spreading,endodermal cell differentiation,odontogenesis	;extracellular matrix structural constituent	A0A5G2QKZ6;F1SAE9	LAMB1	Laminin subunit beta 1	7.629362E+07	8.803834E+07	1.934317E+08	1.237221E+08	1.491287E+08	1.682525E+08	42	42	42	42	42	42
proteinaceous extracellular matrix,extracellular space,sarcolemma	protein heterotrimerization		I3LQ84	COL6A2	Collagen type VI alpha 2 chain	1.122116E+09	8.337085E+08	2.671053E+09	3.122215E+09	2.431239E+09	3.63374E+09	51	51	51	51	51	51
			A0A5G2QWP3	PYGB	Alpha-1,4 glucan phosphorylase	4.366702E+08	1.358336E+08	2.355964E+09	1.750045E+09	2.081164E+09	1.806228E+09	78	78	78	78	78	78
;	;	;	A0A287BL81;A0A287BLM4	COL6A3	Collagen type VI alpha 3 chain	1.210199E+07	6376344	2.085992E+08	6.114207E+07	3.736084E+07	1.580717E+08	3	3	3	3	3	3
			F1SIT7	RPLP1	60S acidic ribosomal protein P1	876428.7	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN
external side of plasma membrane,immunoglobulin complex, circulating,blood microparticle;;;;;	phagocytosis, recognition,phagocytosis, engulfment,complement activation, classical pathway,defense response to bacterium,innate immune response,B cell receptor signaling pathway,positive regulation of B cell activation;;;;;	antigen binding,immunoglobulin receptor binding;;;;;antigen binding	A0A0A0MY58;A0A286ZNH4;A0A287A1M4;A0A287ARX1;A0A287BP38;P01846	NaN	Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Ig lambda chain C region	2431129	1914146	4.415092E+07	6.557282E+07	6.264624E+07	5.544544E+07	6	6	6	6	6	6
chromosome, telomeric region,trans-Golgi network,MLL3/4 complex,Set1C/COMPASS complex	chromatin silencing at telomere,endosomal transport,histone H3-K4 methylation	protein homodimerization activity,histone methyltransferase activity (H3-K4 specific)	F2Z5F7	DPY30	Dpy-30 histone methyltransferase complex regulatory subunit	984558.5	655471.9	5.27435E+07	2.346371E+07	3.307371E+07	3.944112E+07	4	4	4	4	4	4
;microfibril,basement membrane,extracellular space	;skeletal system development,heart development,cell adhesion mediated by integrin,sequestering of BMP in extracellular matrix,sequestering of TGFbeta in extracellular matrix,camera-type eye development,embryonic eye morphogenesis,post-embryonic eye morphogenesis,negative regulation of osteoclast development	;integrin binding,extracellular matrix structural constituent,calcium ion binding,heparin binding,identical protein binding	A0A5G2QMD8;F1SN67	FBN1	Fibrillin-1	6.607641E+07	2.628645E+08	3.160184E+09	2.657233E+09	3.539397E+09	3.245166E+09	69	69	69	69	69	69
;;	;;	;;	A0A480KXA1;A0A5G2RCH7;A0A5K1VE56	MYOM1	Myomesin 1	9540445	NaN	9.06763E+07	7.724366E+07	5.377975E+07	8.495483E+07	50	NaN	50	50	50	50
;extracellular space,macromolecular complex	;positive regulation of type IIa hypersensitivity,positive regulation of protein phosphorylation,positive regulation of activation of membrane attack complex,phagocytosis, engulfment,inflammatory response,complement activation,positive regulation of vascular endothelial growth factor production,positive regulation of glucose transport,regulation of triglyceride biosynthetic process,positive regulation of lipid storage,negative regulation of endopeptidase activity,innate immune response,positive regulation of G-protein coupled receptor protein signaling pathway,positive regulation of angiogenesis,beta-amyloid clearance,positive regulation of apoptotic cell clearance	;endopeptidase inhibitor activity,C5L2 anaphylatoxin chemotactic receptor binding	A0A5G2RG14;F1SBS4	C3	Complement C3	1.342152E+07	1.0137E+07	4.663174E+07	4.466594E+07	3.175584E+07	3.023858E+07	67	67	67	67	67	67
			A0A287B6I2	PYGM	Alpha-1,4 glucan phosphorylase	4216665	2571052	9.640646E+07	1.364046E+08	9.041616E+07	9.211399E+07	33	33	33	33	33	33
;;	;;	extracellular matrix structural constituent;;	A0A287A1S6;A0A287BLD2;A0A5G2QQE9	COL1A1	Collagen alpha-1(I) chain preproprotein;Collagen type I alpha 1 chain;Collagen type I alpha 1 chain	1.405244E+10	9.772759E+09	7.831071E+09	2.951317E+09	8.335544E+09	8.284333E+09	13	13	13	13	13	13
			F1SFA7	COL1A2	Collagen type I alpha 2 chain	3.158269E+09	3.721368E+08	1.980956E+09	2.197888E+09	2.90699E+09	1.838075E+09	12	12	12	12	12	12
			A0A287AKJ2	NID2	Nidogen 2	1.161232E+08	2961448	2.255186E+08	2.853886E+08	5.107773E+08	3.952824E+08	27	27	27	27	27	27
nucleus,cytoplasm,cytosolic small ribosomal subunit,perinuclear region of cytoplasm	rRNA processing,translation,ribosomal small subunit biogenesis,cellular response to insulin-like growth factor stimulus	structural constituent of ribosome	F2Z5Q6	RPS6	40S ribosomal protein S6	6.7521E+07	NaN	NaN	NaN	NaN	NaN	1	NaN	NaN	NaN	NaN	NaN
mitochondrion	tricarboxylic acid cycle	aconitate hydratase activity,metal ion binding,4 iron, 4 sulfur cluster binding	P16276	ACO2	Aconitate hydratase, mitochondrial	4231242	NaN	2.055502E+08	2.659818E+08	1.874601E+08	2.651136E+08	28	NaN	28	28	28	28
;extracellular space	;	;	A0A286ZT13;A0A287BAY9	ALB	Albumin	9.733154E+07	2.260089E+08	2.332099E+08	2.322955E+08	2.649891E+08	2.522431E+08	32	32	32	32	32	32
proteinaceous extracellular matrix,cytoplasm,extracellular matrix	negative regulation of protein kinase activity,cytokine-mediated signaling pathway,negative regulation of JAK-STAT cascade	protein kinase inhibitor activity,collagen binding	Q9XSD9	DCN	Decorin	1.614466E+08	1.45413E+08	2.647456E+08	1.698388E+08	7.24875E+07	7.948812E+07	11	11	11	11	11	11
			A0A286ZKK0	DPYSL2	Dihydropyrimidinase-related protein 2	5.406391E+07	9904414	1.631642E+08	1.495358E+08	1.094147E+08	1.825441E+08	31	31	31	31	31	31
cell surface,endolysosome,blood microparticle	positive regulation of immune response to tumor cell,negative regulation of cell proliferation,regulation of gene expression,regulation of platelet activation,negative regulation of lamellipodium assembly,negative regulation of endopeptidase activity,heme transport,negative regulation of angiogenesis,platelet activation,negative regulation of cell growth,regulation of actin cytoskeleton organization,negative regulation of cell adhesion mediated by integrin,positive regulation of apoptotic process,regulation of protein complex assembly,regulation of peptidyl-tyrosine phosphorylation,defense response to fungus,cytolysis in other organism,positive regulation of focal adhesion assembly,negative regulation of fibrinolysis,Requires Ontology,negative regulation of vascular endothelial growth factor signaling pathway,positive regulation of blood vessel remodeling,negative regulation of endothelial cell chemotaxis	serine-type endopeptidase inhibitor activity,cysteine-type endopeptidase inhibitor activity,receptor binding,heparin binding,zinc ion binding,immunoglobulin binding,heme binding,heparan sulfate proteoglycan binding	F1SFI5	HRG	Histidine rich glycoprotein	4302867	NaN	2.633716E+08	2.712404E+07	1.983032E+08	1.210045E+08	12	NaN	12	12	12	12
cytosolic small ribosomal subunit	translation	structural constituent of ribosome	F2Z4Y8	RPS11	40S ribosomal protein S11	2730931	1031246	NaN	NaN	NaN	NaN	2	2	NaN	NaN	NaN	NaN
;fibrinogen complex,basal lamina,endoplasmic reticulum-Golgi intermediate compartment,apical plasma membrane,extracellular exosome,extracellular matrix	;cell-substrate junction assembly,calcium-independent cell-matrix adhesion,positive regulation of gene expression,positive regulation of peptidase activity,peptide cross-linking,integrin activation,substrate adhesion-dependent cell spreading,endodermal cell differentiation,wound healing,positive regulation of axon extension,positive regulation of fibroblast proliferation,interaction with symbiont,interaction with other organism via secreted substance involved in symbiotic interaction,regulation of ERK1 and ERK2 cascade,positive regulation of substrate-dependent cell migration, cell attachment to substrate,negative regulation of transforming growth factor-beta secretion	;protease binding,integrin binding,protein C-terminus binding,peptidase activator activity,identical protein binding,chaperone binding,disordered domain specific binding	A0A5G2QFE3;F1SS24	FN1	Fibronectin	6638344	3.750219E+07	6.914389E+08	4.362316E+08	5.32478E+08	4.406171E+08	65	65	65	65	65	65
proteinaceous extracellular matrix,fibrillar collagen trimer,extracellular space,extracellular matrix	visual perception,collagen fibril organization,positive regulation of transforming growth factor beta1 production,positive regulation of transcription from RNA polymerase II promoter,axonogenesis	collagen binding	F1SQ09	LUM	Lumican	2.325224E+09	1.940472E+09	8.345461E+09	9.137996E+09	4.097903E+09	2.047377E+10	21	21	21	21	21	21
;	regulation of cell adhesion,regulation of cell migration,regulation of embryonic development;	receptor binding;	A0A287A027;A0A287AP44	LAMA2	Uncharacterized protein	5.158004E+07	5.229798E+07	1.958275E+08	1.385192E+08	1.93039E+08	1.905753E+08	54	54	54	54	54	54
