PG.UniprotIds,PG.Genes,PG.ProteinDescriptions,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.PSMs,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.PSMs,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.PSMs,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.PSMs,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.PSMsForQuant,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.PSMsForQuant,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.PSMsForQuant,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.PSMsForQuant,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.Label-Free Quant,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.Label-Free Quant,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.Label-Free Quant,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.Label-Free Quant,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.Coverage,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.Coverage,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.Coverage,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.Coverage,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.Score,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.Score,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.Score,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.Score,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.UniquePeptides,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.UniquePeptides,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.UniquePeptides,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.UniquePeptides
A0A286ZLL9;A0A5G2QYN3;A0A5G2R260,SYNPO,Synaptopodin,5,2,1,3,3,2,1,2,2426111,3552530,7394467,3987265,6.8%;9.5%;8.7%,4.1%;5.7%;5.2%,1.9%;2.7%;2.5%,4.6%;6.5%;6%,2.13284802436829,2.13284802436829,2.13284802436829,2.13284802436829,3,3,3,3
A0A5G2RBV3;F1SQ55,UMPS,Uridine 5'-monophosphate synthase,1,3,2,1,1,2,2,1,46494.25,452649.9,251155.8,1813831,4.4%;4.3%,5.8%;5.8%,5.8%;5.8%,4.4%;4.3%,1.53566205501556,1.53566205501556,1.53566205501556,1.53566205501556,2,2,2,2
F1RS37,POSTN,Periostin,83,117,210,206,5,5,5,5,9.856596E+08,1.563042E+09,2.712263E+09,3.415379E+09,51.4%,53%,75.2%,65.7%,2.85531377792358,2.85531377792358,2.85531377792358,2.85531377792358,77,77,77,77
A0A287AQG1;A0A287B1U9;F1SMG3,NNT,Proton-translocating NAD(P)(+) transhydrogenase,15,31,11,32,5,5,5,5,1.754854E+07,6.065536E+07,6061758,4.664467E+07,13.7%;13.7%;14%,19%;19.1%;19.5%,11.8%;11.8%;12.1%,24.5%;24.6%;25.1%,2.49863433837891,2.49863433837891,2.49863433837891,2.49863433837891,24,24,24,24
A0A480EA26,MYPN,Myopalladin isoform a,4,5,1,4,4,4,1,4,2970588,3347672,1.252625E+07,1222305,3.3%,3.5%,1%,3.3%,2.74796557426453,2.74796557426453,2.74796557426453,2.74796557426453,7,7,7,7
A0A287B163,COL6A3,Collagen type VI alpha 3 chain,504,622,592,480,5,5,5,5,1.918398E+09,2.047723E+09,1.569897E+09,2.219525E+09,56.1%,58.6%,65.2%,60.3%,3.06276154518127,3.06276154518127,3.06276154518127,3.06276154518127,198,198,198,198
A0A286ZT82;A0A287AZK2,TAGLN,Transgelin,5,14,8,NaN,3,5,5,NaN,2397363,2.020398E+07,1.205103E+07,NaN,15.5%;15.1%,41.2%;40.2%,27.9%;27.2%,NaN,2.50009059906006,2.50009059906006,2.50009059906006,NaN,12,12,12,NaN
A0A287A2R9,CRK,14_3_3 domain-containing protein,3,6,6,12,2,4,4,5,1.114601E+07,4187750,3.015018E+07,2.457603E+07,10.6%,19.2%,20%,32.9%,2.38094043731689,2.38094043731689,2.38094043731689,2.38094043731689,8,8,8,8
A0A5G2QEG8;F1RUM0,ITIH5,Inter-alpha-trypsin inhibitor heavy chain 5,19,10,31,19,5,5,5,5,1.706186E+07,1.583012E+07,5.169613E+07,1.908498E+07,21.1%;19.6%,13.3%;12.4%,23.9%;22.2%,20.4%;19%,2.89332604408264,2.89332604408264,2.89332604408264,2.89332604408264,21,21,21,21
Q8HY46,CPT1B,"Carnitine O-palmitoyltransferase 1, muscle isoform",8,5,4,15,5,4,4,5,2060014,7105846,2648447,1.528912E+07,13.5%,7.8%,4.9%,21%,2.51156973838806,2.51156973838806,2.51156973838806,2.51156973838806,15,15,15,15
